Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Hicks,Glenn,N,1980,1981,F,70,177,August,28,1958,Canada
Holland,Rob,N,1980,1981,G,73,180,September,10,1957,Canada
Johnston,Bernie,N,1980,1981,F,71,185,September,15,1956,Canada
Giallonardo,Mario,N,1980,1981,D,71,201,September,23,1957,Canada
Driscoll,Peter,N,1980,1981,F,73,190,October,27,1954,Canada
Busniuk,Mike,N,1980,1981,D,75,200,December,13,1951,Canada
Norwich,Craig,N,1980,1981,D,71,175,December,15,1955,USA
Fitchner,Bob,N,1980,1981,F,73,190,December,22,1950,Canada
Attwell,Bob,N,1980,1981,F,73,192,December,26,1959,USA
Alley,Steve,N,1980,1981,F,73,185,December,29,1953,USA
Janaszak,Steve,N,1980,1982,G,73,210,January,7,1957,USA
Geoffrion,Danny,N,1980,1982,F,70,185,January,24,1958,Canada
Cloutier,Rejean,N,1980,1982,D,73,185,February,15,1960,Canada
Hangsleben,Al,N,1980,1982,D,73,195,February,22,1953,USA
Cassolato,Tony,N,1980,1982,F,71,180,May,7,1956,Canada
Callighen,Brett,N,1980,1982,F,71,182,May,15,1953,Canada
Rausse,Errol,N,1980,1982,F,70,180,May,18,1959,Canada
Campbell,Scott,N,1980,1982,D,75,205,June,22,1957,Canada
Rautakallio,Pekka,N,1980,1982,D,71,185,July,25,1953,Finland
Wappel,Gord,N,1980,1982,D,74,205,July,26,1958,Canada
Pocza,Harvie,N,1980,1982,F,74,200,September,22,1959,Canada
Legge,Barry,N,1980,1982,D,73,186,October,22,1954,Canada
Micheletti,Joe,N,1980,1982,D,73,185,October,24,1954,USA
Morrison,Gary,N,1980,1982,F,74,200,November,8,1955,USA
Gillen,Don,N,1980,1982,F,75,210,December,24,1960,Canada
Miller,Warren,N,1980,1983,F,73,180,January,1,1954,USA
Sobchuk,Dennis,N,1980,1983,F,74,176,January,12,1954,Canada
Brackenbury,Curt,N,1980,1983,F,70,200,January,31,1952,Canada
Smith,Stu,N,1980,1983,D,73,205,March,17,1960,Canada
David,Richard,N,1980,1983,F,73,195,April,8,1958,Canada
Lacroix,Pierre,N,1980,1983,D,71,185,April,11,1959,Canada
Baker,Steve,N,1980,1983,G,75,200,May,6,1957,USA
Ricci,Nick,N,1980,1983,G,70,160,June,3,1959,Canada
Middlebrook,Lindsay,N,1980,1983,G,67,160,September,7,1955,Canada
Marshall,Paul,N,1980,1983,F,74,180,September,7,1960,Canada
MacDonald,Blair,N,1980,1983,F,70,180,November,17,1953,Canada
Lyle,George,N,1980,1983,F,74,205,November,24,1953,Canada
Lariviere,Garry,N,1980,1983,D,73,190,December,6,1954,Canada
McClanahan,Rob,N,1980,1984,F,70,180,January,9,1958,USA
Hislop,Jamie,N,1980,1984,F,70,180,January,20,1954,Canada
Christoff,Steve,N,1980,1984,F,73,180,January,23,1958,USA
Dobson,Jim,N,1980,1984,F,73,195,February,1,1960,Canada
Dupont,Norm,N,1980,1984,F,70,185,February,5,1957,Canada
MacGuigan,Garth,N,1980,1984,F,73,190,February,16,1956,Canada
Renaud,Mark,N,1980,1984,D,73,185,February,21,1959,Canada
Tebbutt,Greg,N,1980,1984,D,75,215,May,11,1957,Canada
Craig,Jim,N,1980,1984,G,73,190,May,31,1957,USA
Mattsson,Markus,N,1980,1984,G,73,180,July,30,1957,Finland
Theberge,Greg,N,1980,1984,D,70,185,September,3,1959,Canada
Tremblay,Vincent,N,1980,1984,G,73,180,October,21,1959,Canada
Minor,Gerry,N,1980,1984,F,68,178,October,27,1958,Canada
MacKinnon,Paul,N,1980,1984,D,73,195,November,6,1958,Canada
Marsh,Peter,N,1980,1984,F,73,180,December,21,1956,Canada
Douglas,Jordy,N,1980,1985,F,73,200,January,20,1958,Canada
Morrison,Doug,N,1980,1985,F,71,184,February,1,1960,Canada
Kirton,Mark,N,1980,1985,F,70,170,February,3,1958,Canada
Dion,Michel,N,1980,1985,G,70,185,February,11,1954,Canada
Howe,Marty,N,1980,1985,D,73,195,February,18,1954,USA
Hotham,Greg,N,1980,1985,D,71,183,March,7,1956,Canada
Markell,John,N,1980,1985,F,71,185,March,10,1956,Canada
Baron,Marco,N,1980,1985,G,71,180,April,8,1959,Canada
Weir,Wally,N,1980,1985,D,74,200,June,3,1954,Canada
Garrett,John,N,1980,1985,G,68,175,June,17,1951,Canada
Kallur,Anders,N,1980,1985,F,71,185,July,6,1952,Sweden
Cloutier,Real,N,1980,1985,F,70,185,July,30,1956,Canada
